2024 RANK,2023 RANK,Institution Name - WRONG,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
2,2,University of Cambridge,University of Cambridge,UK,United Kingdom,L,FC,VH,5.0,A,100,3,100,4,100,14,92.3,68,100,64,95.8,85,99.9,7,100,6,97.3,33=,99.2
3,4,University of Oxford,University of Oxford,UK,United Kingdom,L,FC,VH,5.0,A,100,2,100,5,100,8,90.6,73,98.2,110,98.2,60,100,1,100,3,97.8,26=,98.9
6,6=,Imperial College London,Imperial College London,UK,United Kingdom,L,FC,VH,5.0,A,98.3,23,99.4,12,98.5,42,94,58,100,61,100,14,96.7,35,83,45,94.4,61=,97.8
7,9,ETH Zurich - Swiss Federal Institute of Technology,ETH Zurich,CH,Switzerland,L,FO,VH,5.0,A,98.8,19,83.6,62,72.1,177,98.9,21,100,22,98.5,56,96,42,79.1,52,88.4,103=,93.3
9,8,UCL,UCL,UK,United Kingdom,XL,FC,VH,5.0,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100,15,100,2,51.6,126,92.5,74,92.4
22,15,The University of Edinburgh,University of Edinburgh,UK,United Kingdom,XL,FC,VH,5.0,A,98.1,25,96.9,26,72.4,176,58.7,216,98.8,100,99.9,33,99.6,12,48.1,141,99.7,6,86.1
24,26,Université PSL,Paris Sciences et Lettres University,FR,France,L,CO,VH,1.0,A,73.7,82,97,25,99.3,33,95.7,49,69.2,280,72.7,196,100,3,60.8,97,80.4,146=,85.8
32,28,The University of Manchester,University of Manchester,UK,United Kingdom,XL,FC,VH,5.0,A,95.4,33,98,21,53.8,288,49.1,274,93.5,160,99.4,44,99.7,10,71.9,66,92.3,75=,82.2
36,16=,EPFL,École Polytechnique Fédérale de Lausanne,CH,Switzerland,M,FO,VH,5.0,A,84.6,57,59.9,133,92.4,73,98,34,100,25,100,12,65.6,213,2023-04-19 00:00:00,431,42.3,351=,80.4
37,49,Technical University of Munich,Technical University of Munich,DE,Germany,XL,FO,VH,5.0,A,83.9,59,98.2,19,88.8,89,59.6,210,76.5,243,97.3,71,86.7,103,25,330,84.8,120=,80
38,48,Institut Polytechnique de Paris,Polytechnic Institute of Paris,FR,France,M,CO,VH,1.0,A,44.8,185,99.6,10,97.3,51,93.8,59,98.5,106,98.3,58,76.9,163,90.3,35,72.5,189=,79.5
40,37,King's College London,King's College London,UK,United Kingdom,XL,FC,VH,5.0,A,89.5,46,82.3,68,64.6,215,61.1,201,98.8,99,100,23,99.2,14,34.4,223,81.1,142=,79.3
45,56,The London School of Economics and Political Science (LSE),London School of Economics,UK,United Kingdom,M,SP,VH,5.0,A,67.7,98,96.1,32,39.6,401,80.2,110,100,35,100,10,32.4,440,98.6,16,97.8,28,76.9
47,61=,Delft University of Technology,Delft University of Technology,NL,Netherlands,L,CO,VH,5.0,A,73,84,79,73,36.9,428,84.9,95,100,66,89.3,121,91.4,72,42.1,170,98.4,18=,76.2
53,58,University of Amsterdam,University of Amsterdam,NL,Netherlands,XL,FC,VH,5.0,A,83.6,62,44.2,203,2023-02-21 00:00:00,641,98.1,33,92.4,168,79.9,163,97.4,28,49.9,133,64.8,226=,73.4
54,59,Ludwig-Maximilians-Universität München,Ludwig Maximilian University of Munich,DE,Germany,XL,FC,VH,5.0,A,92.7,40,83.5,63,46.7,335,51.4,254,73.3,260,37.7,362,94.4,57,48.5,140,77.3,167=,72.5
55,61=,University of Bristol,University of Bristol,UK,United Kingdom,L,FC,VH,5.0,A,74.9,78,84.7,60,47.3,331,64.7,179,85.5,205,86.8,136,84.4,122,39.6,181,81.3,141,72.4
59,60,Sorbonne University,Sorbonne University,FR,France,XL,FC,VH,1.0,A,88.6,48,53.2,151,43.3,361,85.4,93,35.2,451,49.8,297,100,4,39.5,182,75.8,171=,71.7
61,76,KU Leuven,KU Leuven,BE,Belgium,XL,FC,VH,5.0,A,84.6,56,42.4,220,7,701+,92.7,66,93.1,163,45.7,318,99.9,6,56.1,111,75.6,173=,70.1
67,64,The University of Warwick,University of Warwick,UK,United Kingdom,L,FC,VH,4.0,A,71.3,86,88,56,37.3,420,49,275,98.2,109,99.3,47,89.7,87,47.2,148,62.5,239=,68.6
71,69,Université Paris-Saclay,Paris-Saclay University,FR,France,XL,CO,VH,1.0,A,58.9,128,99.1,13,99.8,25,45.8,294,39.1,416,60.8,244,98.7,17,34.3,224,73.6,182=,67.6
73,89,KTH Royal Institute of Technology,KTH Royal Institute of Technology,SE,Sweden,L,CO,VH,5.0,A,45.7,181,51.1,162,66.2,201,90.2,74,93.2,162,68.1,217,80.7,142,56.9,108,96.1,44=,66.4
75,86,University of Leeds,University of Leeds,UK,United Kingdom,XL,FC,VH,5.0,A,70.3,89,76.7,77,37.3,421,42.3,320,85.2,208,90,118,98.7,16,37.8,193,90.9,88,65.5
76,81,University of Glasgow,University of Glasgow,UK,United Kingdom,XL,FC,VH,5.0,A,76.3,77,70.7,101,41.7,377,2023-08-31 00:00:00,423,96,143,99.5,41,90,80,2023-07-26 00:00:00,306,99.5,11,65.2
78,92,Durham University,Durham University,UK,United Kingdom,L,FC,VH,5.0,A,59.5,124,89.3,50,2023-08-27 00:00:00,548,53.3,241,97.5,125,86.9,135,86.2,108,29.2,274,97.6,30=,65.1
81,98,"Trinity College Dublin, The University of Dublin",Trinity College Dublin,IE,Ireland,L,FC,VH,5.0,A,69.3,92,39.8,238,2023-07-23 00:00:00,601,64.1,184,99.8,79,92.5,104,82.2,132,70.6,70,75.6,173=,63.5
81,78,University of Southampton,University of Southampton,UK,United Kingdom,L,FC,VH,5.0,A,51.5,154,51.2,160,52.8,298,71.4,140,96.1,138,97.4,70,97,31,32.5,235,82.7,133=,63.5
84,91,University of Birmingham,University of Birmingham,UK,United Kingdom,XL,FC,VH,5.0,A,67.5,99,75.7,81,41.3,379,38.2,364,92.3,169,83.9,148,96,41,2023-05-29 00:00:00,270,80.4,146=,63
85,95,Lund University,Lund University,SE,Sweden,L,FC,VH,5.0,A,69.3,93,47.5,185,50.2,310,37.7,373,98.8,102,77.4,173,95.2,52,66,83,99.1,14,62.8
87,75,Lomonosov Moscow State University,Moscow State University,RU,Russia,XL,FC,VH,5.0,A,81.2,69,78.3,74,99.8,26,2023-06-04 00:00:00,701+,2023-03-20 00:00:00,587,92.3,105,85.2,115,82.2,48,2023-04-13 00:00:00,631=,62.2
87,65=,Ruprecht-Karls-Universität Heidelberg,Heidelberg University,DE,Germany,L,FO,VH,5.0,A,78.3,75,52,156,99.7,29,38.2,365,52.5,349,50.4,290,89.7,88,2023-08-19 00:00:00,423,42.6,345=,62.2
91,83=,University of Zurich,University of Zurich,CH,Switzerland,L,FC,VH,5.0,A,59.1,126,2023-06-27 00:00:00,352,89.9,88,52,248,100,60,53,274,87.2,100,75.2,58,80.2,149,61.6
95,96=,University of St Andrews,University of St Andrews,UK,United Kingdom,M,FO,VH,5.0,A,47.3,173,67.2,114,64.9,212,57.7,223,98.7,103,100,29,51.1,306,2023-04-22 00:00:00,370,92.1,77=,61
98,118=,Freie Universitaet Berlin,Free University of Berlin,DE,Germany,L,FC,VH,4.0,A,80.8,70,51,163,2023-04-04 00:00:00,701+,71.4,141,62.8,308,43.6,332,84.9,118,2023-09-21 00:00:00,378,60.1,251,60.8
100,114,University of Nottingham,University of Nottingham,UK,United Kingdom,XL,FC,VH,5.0,A,60.7,116,72.1,96,32.2,492,46.5,290,90,183,75.2,185,98.4,18,2023-04-24 00:00:00,342,80,150=,60.4
104,96=,The University of Sheffield,University of Sheffield,UK,United Kingdom,L,FC,VH,5.0,A,58.7,130,52.3,153,54.7,278,46.9,289,84,218,97.5,69,96.1,38,2023-09-24 00:00:00,332,76.3,169,59.7
105,128,Uppsala University,Uppsala University,SE,Sweden,L,FC,VH,5.0,A,62.7,111,2023-05-30 00:00:00,320,47.7,330,45.6,296,98.3,108,82.4,152,95.5,47,58.2,105,99.4,12,59.4
106,147=,RWTH Aachen University,RWTH Aachen University,DE,Germany,XL,FC,VH,5.0,A,49.7,163,93,44,2023-05-05 00:00:00,701+,78.7,120,49,362,83,151,63.5,223,2023-09-23 00:00:00,354,53.4,288=,59.3
107,82,University of Copenhagen,University of Copenhagen,DK,Denmark,XL,FC,VH,5.0,A,74.1,80,2023-08-25 00:00:00,371,100,19,2023-02-21 00:00:00,543,91.4,175,2023-05-22 00:00:00,506,98.2,19,60.1,98,87.4,108=,58.8
107,112=,Utrecht University,Utrecht University,NL,Netherlands,XL,FC,VH,5.0,A,66.6,102,31.6,311,32.6,487,80.8,108,57.1,323,2023-02-21 00:00:00,531,95,54,2023-05-26 00:00:00,309,83.5,128=,58.8
109,116=,Aalto University,Aalto University,FI,Finland,L,FO,VH,2.0,A,44.6,187,41.8,223,40.2,391,79.4,112,95.5,147,37.7,363,56.2,277,88.9,39,95,53=,58.7
