Unnamed: 0,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Institution Name - WRONG,Wikidata
0,2,2,University of Cambridge,UK,United Kingdom,L,FC,VH,5.0,A,100.0,3,100.0,4,100.0,14,92.3,68,100.0,64,95.8,85,99.9,7,100.0,6,97.3,33=,99.2,University of Cambridge,"{""entities"": {""Q35794"": {""type"": ""item"", ""id"": ""Q35794"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""collegiate public research university in Cambridge, England, United Kingdom""}}}}, ""success"": 1}"
1,3,4,University of Oxford,UK,United Kingdom,L,FC,VH,5.0,A,100.0,2,100.0,5,100.0,8,90.6,73,98.2,110,98.2,60,100.0,1,100.0,3,97.8,26=,98.9,University of Oxford,"{""entities"": {""Q34433"": {""type"": ""item"", ""id"": ""Q34433"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""collegiate research university in Oxford, England""}}}}, ""success"": 1}"
2,6,6=,Imperial College London,UK,United Kingdom,L,FC,VH,5.0,A,98.3,23,99.4,12,98.5,42,94.0,58,100.0,61,100.0,14,96.7,35,83.0,45,94.4,61=,97.8,Imperial College London,"{""entities"": {""Q189022"": {""type"": ""item"", ""id"": ""Q189022"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university located in London, United Kingdom""}}}}, ""success"": 1}"
3,7,9,ETH Zurich,CH,Switzerland,L,FO,VH,5.0,A,98.8,19,83.6,62,72.1,177,98.9,21,100.0,22,98.5,56,96.0,42,79.1,52,88.4,103=,93.3,ETH Zurich - Swiss Federal Institute of Technology,"{""entities"": {""Q11942"": {""type"": ""item"", ""id"": ""Q11942"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Swiss Federal Institute of Technology in Z\u00fcrich""}}}}, ""success"": 1}"
4,9,8,UCL,UK,United Kingdom,XL,FC,VH,5.0,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100.0,15,100.0,2,51.6,126,92.5,74,92.4,UCL,"{""entities"": {""Q250211"": {""type"": ""item"", ""id"": ""Q250211"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Wikimedia disambiguation page""}}}}, ""success"": 1}"
5,22,15,University of Edinburgh,UK,United Kingdom,XL,FC,VH,5.0,A,98.1,25,96.9,26,72.4,176,58.7,216,98.8,100,99.9,33,99.6,12,48.1,141,99.7,6,86.1,The University of Edinburgh,"{""entities"": {""Q160302"": {""type"": ""item"", ""id"": ""Q160302"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Edinburgh, Scotland, United Kingdom""}}}}, ""success"": 1}"
6,24,26,Paris Sciences et Lettres University,FR,France,L,CO,VH,1.0,A,73.7,82,97.0,25,99.3,33,95.7,49,69.2,280,72.7,196,100.0,3,60.8,97,80.4,146=,85.8,Université PSL,"{""entities"": {""Q1163431"": {""type"": ""item"", ""id"": ""Q1163431"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university in Paris""}}}}, ""success"": 1}"
7,32,28,University of Manchester,UK,United Kingdom,XL,FC,VH,5.0,A,95.4,33,98.0,21,53.8,288,49.1,274,93.5,160,99.4,44,99.7,10,71.9,66,92.3,75=,82.2,The University of Manchester,"{""entities"": {""Q230899"": {""type"": ""item"", ""id"": ""Q230899"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Manchester, England""}}}}, ""success"": 1}"
8,36,16=,École Polytechnique Fédérale de Lausanne,CH,Switzerland,M,FO,VH,5.0,A,84.6,57,59.9,133,92.4,73,98.0,34,100.0,25,100.0,12,65.6,213,19.4,431,42.3,351=,80.4,EPFL,"{""entities"": {""Q262760"": {""type"": ""item"", ""id"": ""Q262760"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""university in Lausanne, Switzerland""}}}}, ""success"": 1}"
9,37,49,Technical University of Munich,DE,Germany,XL,FO,VH,5.0,A,83.9,59,98.2,19,88.8,89,59.6,210,76.5,243,97.3,71,86.7,103,25.0,330,84.8,120=,80.0,Technical University of Munich,"{""entities"": {""Q157808"": {""type"": ""item"", ""id"": ""Q157808"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in Germany""}}}}, ""success"": 1}"
10,=38,48,Polytechnic Institute of Paris,FR,France,M,CO,VH,1.0,A,44.8,185,99.6,10,97.3,51,93.8,59,98.5,106,98.3,58,76.9,163,90.3,35,72.5,189=,79.5,Institut Polytechnique de Paris,"{""entities"": {""Q48759778"": {""type"": ""item"", ""id"": ""Q48759778"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French research university of engineering schools in Paris-Saclay""}}}}, ""success"": 1}"
11,40,37,King's College London,UK,United Kingdom,XL,FC,VH,5.0,A,89.5,46,82.3,68,64.6,215,61.1,201,98.8,99,100.0,23,99.2,14,34.4,223,81.1,142=,79.3,King's College London,"{""entities"": {""Q245247"": {""type"": ""item"", ""id"": ""Q245247"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public research university in London, United Kingdom""}}}}, ""success"": 1}"
12,45,56,London School of Economics,UK,United Kingdom,M,SP,VH,5.0,A,67.7,98,96.1,32,39.6,401,80.2,110,100.0,35,100.0,10,32.4,440,98.6,16,97.8,28,76.9,The London School of Economics and Political Science (LSE),"{""entities"": {""Q174570"": {""type"": ""item"", ""id"": ""Q174570"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in London, United Kingdom""}}}}, ""success"": 1}"
13,=47,61=,Delft University of Technology,NL,Netherlands,L,CO,VH,5.0,A,73.0,84,79.0,73,36.9,428,84.9,95,100.0,66,89.3,121,91.4,72,42.1,170,98.4,18=,76.2,Delft University of Technology,"{""entities"": {""Q752663"": {""type"": ""item"", ""id"": ""Q752663"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""Dutch university""}}}}, ""success"": 1}"
14,53,58,University of Amsterdam,NL,Netherlands,XL,FC,VH,5.0,A,83.6,62,44.2,203,21.2,641,98.1,33,92.4,168,79.9,163,97.4,28,49.9,133,64.8,226=,73.4,University of Amsterdam,"{""entities"": {""Q214341"": {""type"": ""item"", ""id"": ""Q214341"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Amsterdam, Netherlands""}}}}, ""success"": 1}"
15,54,59,Ludwig Maximilian University of Munich,DE,Germany,XL,FC,VH,5.0,A,92.7,40,83.5,63,46.7,335,51.4,254,73.3,260,37.7,362,94.4,57,48.5,140,77.3,167=,72.5,Ludwig-Maximilians-Universität München,"{""entities"": {""Q55044"": {""type"": ""item"", ""id"": ""Q55044"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""public university in Munich, Germany""}}}}, ""success"": 1}"
16,55,61=,University of Bristol,UK,United Kingdom,L,FC,VH,5.0,A,74.9,78,84.7,60,47.3,331,64.7,179,85.5,205,86.8,136,84.4,122,39.6,181,81.3,141,72.4,University of Bristol,"{""entities"": {""Q459506"": {""type"": ""item"", ""id"": ""Q459506"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""research university located in Bristol, United Kingdom""}}}}, ""success"": 1}"
17,59,60,Sorbonne University,FR,France,XL,FC,VH,1.0,A,88.6,48,53.2,151,43.3,361,85.4,93,35.2,451,49.8,297,100.0,4,39.5,182,75.8,171=,71.7,Sorbonne University,"{""entities"": {""Q41497113"": {""type"": ""item"", ""id"": ""Q41497113"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""French university located in Paris, created in 2018 from the merger of Universit\u00e9 Paris IV and Universit\u00e9 Paris VI""}}}}, ""success"": 1}"
18,61,76,KU Leuven,BE,Belgium,XL,FC,VH,5.0,A,84.6,56,42.4,220,7.0,701+,92.7,66,93.1,163,45.7,318,99.9,6,56.1,111,75.6,173=,70.1,KU Leuven,"{""entities"": {""Q833670"": {""type"": ""item"", ""id"": ""Q833670"", ""descriptions"": {""en"": {""language"": ""en"", ""value"": ""since 1969, a Dutch-speaking university, with its main campus in Leuven, Belgium""}}}}, ""success"": 1}"
